constructor_name,races,points,avg_finish
Toyota,271,278.5,11.121771217712178
Trevis,5,1.0,12.4
Trojan,4,0.0,13.25
Tyrrell,711,711.0,10.556962025316455
Vanwall,66,107.0,10.575757575757576
Veritas,10,0.0,13.1
Virgin,55,0.0,17.654545454545456
Watson,13,36.0,8.76923076923077
Williams,1542,3641.0,10.120622568093385
Wolf,62,79.0,11.53225806451613
Zakspeed,59,2.0,13.88135593220339
